"date","%Iron.Feed","%Silica.Feed","Starch.Flow","Amina.Flow","Ore.Pulp.Flow","Ore.Pulp.pH","Ore.Pulp.Density","Flotation.Column.01.Air.Flow","Flotation.Column.02.Air.Flow","Flotation.Column.03.Air.Flow","Flotation.Column.04.Air.Flow","Flotation.Column.05.Air.Flow","Flotation.Column.06.Air.Flow","Flotation.Column.07.Air.Flow","Flotation.Column.01.Level","Flotation.Column.02.Level","Flotation.Column.03.Level","Flotation.Column.04.Level","Flotation.Column.05.Level","Flotation.Column.06.Level","Flotation.Column.07.Level","%Iron.Concentrate","%Silica.Concentrate"
"2017-03-10 1:00",0.552,0.1698,3019.53,557.434,395.713,10.0664,1.74,249.214,253.235,250.576,295.096,306.4,250.225,250.884,457.396,432.962,424.954,443.558,502.255,446.37,523.344,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3024.41,563.965,397.383,10.0672,1.74,249.719,250.532,250.862,295.096,306.4,250.137,248.994,451.891,429.56,432.939,448.086,496.363,445.922,498.075,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3043.46,568.054,399.668,10.068,1.74,249.741,247.874,250.313,295.096,306.4,251.345,248.071,451.24,468.927,434.61,449.688,484.411,447.826,458.567,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3047.36,568.665,397.939,10.0689,1.74,249.917,254.487,250.049,295.096,306.4,250.422,251.147,452.441,458.165,442.865,446.21,471.411,437.69,427.669,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3033.69,558.167,400.254,10.0697,1.74,250.203,252.136,249.895,295.096,306.4,249.983,248.928,452.441,452.9,450.523,453.67,462.598,443.682,425.679,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3079.1,564.697,396.533,10.0705,1.74,250.73,248.906,249.521,295.096,306.4,250.356,251.873,444.384,443.269,460.449,439.92,451.588,433.539,425.458,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3127.79,566.467,392.9,10.0713,1.74,250.313,252.202,249.082,295.096,306.4,250.95,253.477,446.185,444.571,452.306,431.328,443.548,444.575,431.251,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3152.93,558.777,397.002,10.0722,1.74,249.895,253.63,249.258,295.096,306.4,249.456,253.345,445.985,461.341,461.64,442.067,441.73,461.77,449.679,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3147.27,556.03,394.307,10.073,1.74,250.137,251.104,248.774,295.096,306.4,248.577,250.884,446.686,478.385,459.103,455.074,439.798,457.738,455.915,0.6691,0.0131
"2017-03-10 1:00",0.552,0.1698,3142.58,565.857,393.105,10.0738,1.74,249.653,252.202,248.203,295.096,306.4,248.511,248.137,445.685,478.779,460.665,457.225,453.236,449.898,455.75,0.6691,0.0131
